"Month,Date",Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in),,,,,,,,,,,,,,,,,,
"02,12",26.8,4.4,39.8,7.6,30.3,0,,,,,,,,,,,,,,,,,,
"02,13",28.5,7.7,41.6,10.2,30.3,0,,,,,,,,,,,,,,,,,,
"02,14",32.2,23.4,70.3,8.2,30.2,0,,,,,,,,,,,,,,,,,,
"02,15",33.7,27.4,78.3,7.7,30.1,0,,,,,,,,,,,,,,,,,,
"02,16",40,34,81.4,10.4,29.7,0.83,,,,,,,,,,,,,,,,,,
"02,17",30.1,8.2,40.8,12.4,30.3,0.03,,,,,,,,,,,,,,,,,,
"02,18",27.6,18.4,71.3,12.7,30.4,0,,,,,,,,,,,,,,,,,,
"02,19",31.1,26.8,83.7,11.9,30.1,0.34,,,,,,,,,,,,,,,,,,
"02,20",32.5,18.7,57.9,14.3,30.1,0.08,,,,,,,,,,,,,,,,,,
"02,21",31.5,13.5,48.8,10.8,30.4,0,,,,,,,,,,,,,,,,,,
"02,22",35.3,26.6,72.6,10,30,0,,,,,,,,,,,,,,,,,,
"02,23",41.1,28.6,61.3,13.2,29.7,0.56,,,,,,,,,,,,,,,,,,
"02,24",46.7,28.8,50.1,11.8,29.9,0.01,,,,,,,,,,,,,,,,,,
"02,25",46.1,22,39.6,17.5,30,0,,,,,,,,,,,,,,,,,,
"02,26",40.3,17.2,40.2,8.7,30.4,0,,,,,,,,,,,,,,,,,,
"02,27",43.9,37.7,79.5,9.1,30.1,0.06,,,,,,,,,,,,,,,,,,
"02,28",42.2,35.3,77.1,7.8,30.2,0.41,,,,,,,,,,,,,,,,,,
"03,01",43.2,33.5,72.1,13.2,29.7,0.42,,,,,,,,,,,,,,,,,,
"03,02",29.6,3.8,34.1,22.2,30.1,0.02,,,,,,,,,,,,,,,,,,
"03,03",42.1,15.7,35.1,10.7,29.9,0,,,,,,,,,,,,,,,,,,
"03,04",40.4,20.5,45.7,17.8,29.8,0,,,,,,,,,,,,,,,,,,
"03,05",31.4,5.2,34.8,22.7,29.9,0,,,,,,,,,,,,,,,,,,
"03,06",32.9,12.4,42.9,16.5,30,0,,,,,,,,,,,,,,,,,,
"03,07",34.3,12.5,41,12,30.3,0,,,,,,,,,,,,,,,,,,
"03,08",35.8,9.3,34.5,8.5,30.4,0,,,,,,,,,,,,,,,,,,
"03,09",51.1,19.1,28.6,11.3,30.3,0,,,,,,,,,,,,,,,,,,
"03,10",46.1,31.7,57.9,7,30.5,0,,,,,,,,,,,,,,,,,,
"03,11",52.7,41.1,69.3,7.2,30.2,0,,,,,,,,,,,,,,,,,,
"03,12",61.6,30.1,34.2,14.6,30,0,,,,,,,,,,,,,,,,,,
"03,13",44,10.3,26.3,16.7,30.2,0,,,,,,,,,,,,,,,,,,
"03,14",44.9,13.9,29.1,19.6,30,0,,,,,,,,,,,,,,,,,,
"03,15",32,1,28,19.3,30.3,0,,,,,,,,,,,,,,,,,,
"03,16",33.1,10.7,41.9,8.2,30.3,0,,,,,,,,,,,,,,,,,,
"03,17",39.9,30.8,70.4,7.4,30.1,0,,,,,,,,,,,,,,,,,,
"03,18",44,39.3,83.9,8.5,29.9,0,,,,,,,,,,,,,,,,,,
"03,19",38.3,14.3,41.1,17.7,30.1,0.65,,,,,,,,,,,,,,,,,,
"03,20",44.7,16.5,33.8,6.4,30.5,0,,,,,,,,,,,,,,,,,,
"03,21",49.2,25,44,4.9,30.5,0,,,,,,,,,,,,,,,,,,
"03,22",47.4,32.6,60.1,6.7,30.4,0,,,,,,,,,,,,,,,,,,
"03,23",47.4,40,76.6,7.2,30.3,0,,,,,,,,,,,,,,,,,,
"03,24",46.2,42.2,86.2,10.3,30.1,0,,,,,,,,,,,,,,,,,,
"03,25",55.1,50,83.8,6.1,30,1.32,,,,,,,,,,,,,,,,,,
"03,26",60,48,71.1,12.9,29.8,0.03,,,,,,,,,,,,,,,,,,
"03,27",57,38.4,50.7,11.3,30.1,0,,,,,,,,,,,,,,,,,,
"03,28",52.6,47.8,84.2,10.2,29.7,0,,,,,,,,,,,,,,,,,,
"03,29",50.1,24.8,38,19.5,29.9,0.6,,,,,,,,,,,,,,,,,,
"03,30",50.2,31,49.8,11.6,30.3,0,,,,,,,,,,,,,,,,,,
"03,31",55.9,49.3,79.2,10,30,0,,,,,,,,,,,,,,,,,,
"04,01",47.1,35.2,65.9,16,29.8,0.38,,,,,,,,,,,,,,,,,,
"04,02",35.5,13.9,41.9,17,30.1,0.01,,,,,,,,,,,,,,,,,,
"04,03",42.3,12.1,31.3,10.5,30.3,0,,,,,,,,,,,,,,,,,,
"04,04",53.4,25.4,34.7,7.2,30.1,0,,,,,,,,,,,,,,,,,,
"04,05",57.3,23.3,29,17.7,29.9,0,,,,,,,,,,,,,,,,,,
"04,06",57.3,22,27.7,10.3,29.9,0,,,,,,,,,,,,,,,,,,
"04,07",58,33,39.9,5.7,30,0,,,,,,,,,,,,,,,,,,
"04,08",57.5,40.3,54.4,5.4,30.1,0,,,,,,,,,,,,,,,,,,
"04,09",51,43.2,75.2,7.3,30.1,0,,,,,,,,,,,,,,,,,,
"04,10",56.2,48.8,77,6.9,29.9,0,,,,,,,,,,,,,,,,,,
"04,11",52,49.5,91.2,12.2,29.6,0,,,,,,,,,,,,,,,,,,
"04,12",47.5,41.2,79.5,9.9,29.8,0.4,,,,,,,,,,,,,,,,,,
"04,13",52.9,39,61.9,6.6,30,0.55,,,,,,,,,,,,,,,,,,
"04,14",59.8,43.2,56.9,7.5,30,0,,,,,,,,,,,,,,,,,,
"04,15",51.4,46.4,83.2,9.7,29.7,0,,,,,,,,,,,,,,,,,,
"04,16",47,35.4,65.1,12.6,29.6,0.93,,,,,,,,,,,,,,,,,,
"04,17",49.1,34.4,58.7,9.2,29.7,0.03,,,,,,,,,,,,,,,,,,
"04,18",55.3,37.5,52.1,7.6,29.8,0,,,,,,,,,,,,,,,,,,
"04,19",58.6,38.4,47.8,5.9,29.8,0,,,,,,,,,,,,,,,,,,
"04,20",63.1,40.3,45.4,10.4,29.9,0,,,,,,,,,,,,,,,,,,
"04,21",54.3,40.6,60.6,14.8,29.7,0,,,,,,,,,,,,,,,,,,
"04,22",43,17.5,36.6,20.2,29.8,0.27,,,,,,,,,,,,,,,,,,
"04,23",53.3,19.6,28.8,15.8,29.9,0,,,,,,,,,,,,,,,,,,
"04,24",61.2,29.1,30.5,10.5,29.9,0,,,,,,,,,,,,,,,,,,
"04,25",54.9,42.9,66.2,9.7,29.7,0.41,,,,,,,,,,,,,,,,,,
"04,26",51.9,23.6,35.6,18.5,30,0.09,,,,,,,,,,,,,,,,,,
"04,27",54.7,24.8,33.4,6.7,30,0,,,,,,,,,,,,,,,,,,
"04,28",62.2,46.9,59.1,7.1,29.8,0,,,,,,,,,,,,,,,,,,
"04,29",66.1,55.6,69.1,7.8,29.6,0.03,,,,,,,,,,,,,,,,,,
"04,30",62.9,41,46.7,22.7,29.4,0,,,,,,,,,,,,,,,,,,
"05,01",54.3,26.1,36.9,17.2,29.8,0.02,,,,,,,,,,,,,,,,,,
"05,02",68,37.5,33.8,11.5,29.7,0,,,,,,,,,,,,,,,,,,
"05,03",57.3,48.5,73,8.7,29.8,0,,,,,,,,,,,,,,,,,,
"05,04",58.3,51.6,79.4,8.4,29.7,0.63,,,,,,,,,,,,,,,,,,
"05,05",54.3,49.6,84.6,9,29.7,0,,,,,,,,,,,,,,,,,,
"05,06",58.4,34.1,42.3,14.2,29.9,0.29,,,,,,,,,,,,,,,,,,
"05,07",56.6,35,44.9,10.3,29.9,0,,,,,,,,,,,,,,,,,,
"05,08",52,39.3,62.2,7.5,29.9,0,,,,,,,,,,,,,,,,,,
"05,09",53,40,64,10.5,30,0.04,,,,,,,,,,,,,,,,,,
"05,10",53.7,42.7,68,10.2,29.9,0.47,,,,,,,,,,,,,,,,,,
"05,11",59.1,32.4,39,12.6,30,0,,,,,,,,,,,,,,,,,,
"05,12",58,31.5,38,13.8,30.1,0,,,,,,,,,,,,,,,,,,
"05,13",62.3,30.5,31.5,7.3,30.2,0,,,,,,,,,,,,,,,,,,
"05,14",66.7,31,28.4,8,30.2,0,,,,,,,,,,,,,,,,,,
"05,15",68.2,33.3,28.8,6.4,30.2,0,,,,,,,,,,,,,,,,,,
"05,16",68.2,38.5,35,7.6,30.2,0,,,,,,,,,,,,,,,,,,
"05,17",68.5,41.6,39.3,6.7,30.2,0,,,,,,,,,,,,,,,,,,
"05,18",74.1,40.6,31.8,8.4,30.2,0,,,,,,,,,,,,,,,,,,
"05,19",75.3,44.8,35.5,8.3,30.3,0,,,,,,,,,,,,,,,,,,
"05,20",67,39.6,39.9,8.9,30.4,0,,,,,,,,,,,,,,,,,,
"05,21",68.3,44.7,43.9,8.5,30.4,0,,,,,,,,,,,,,,,,,,
"05,22",76.1,54.2,49,7.4,30.1,0,,,,,,,,,,,,,,,,,,
"05,23",78.9,58,49.5,14.9,29.9,0,,,,,,,,,,,,,,,,,,
"05,24",63.3,40.5,43.7,12.4,30.2,0,,,,,,,,,,,,,,,,,,
"05,25",65.3,49,55.8,11.6,30.2,0,,,,,,,,,,,,,,,,,,
"05,26",75.4,61.6,63,10.8,29.9,0,,,,,,,,,,,,,,,,,,
"05,27",73.7,53.5,53.1,12.7,29.9,0.08,,,,,,,,,,,,,,,,,,
"05,28",58.6,43.2,59.8,17.3,30,0,,,,,,,,,,,,,,,,,,
"05,29",50.3,44.1,79.6,20.9,30,1.28,,,,,,,,,,,,,,,,,,
"05,30",50.2,45.4,83.4,13.3,30.1,0.48,,,,,,,,,,,,,,,,,,
"05,31",57.9,46.8,68.7,9.4,30.2,0.67,,,,,,,,,,,,,,,,,,
"06,01",67.4,49.9,56.5,5.8,30.2,0,,,,,,,,,,,,,,,,,,
"06,02",67.8,52,57.3,8.3,30.2,0,,,,,,,,,,,,,,,,,,
"06,03",65.3,60.2,83.9,6.3,30,0,,,,,,,,,,,,,,,,,,
"06,04",71.1,63.7,77.8,8,29.9,0.31,,,,,,,,,,,,,,,,,,
"06,05",81.4,59.8,52.2,8,29.9,0.67,,,,,,,,,,,,,,,,,,
"06,06",86.2,60.6,42.8,10,30,0,,,,,,,,,,,,,,,,,,
"06,07",82.6,66.5,58.4,8.6,30,0,,,,,,,,,,,,,,,,,,
"06,08",78.6,68.6,72.5,6.5,30,0,,,,,,,,,,,,,,,,,,
"06,09",82.1,67.1,61.7,5.1,29.9,0.47,,,,,,,,,,,,,,,,,,
"06,10",75,54.7,50.3,9.6,30,0,,,,,,,,,,,,,,,,,,
"06,11",64.8,52.5,64.9,8.9,29.9,0,,,,,,,,,,,,,,,,,,
"06,12",65.8,55.5,70,8.7,29.9,0,,,,,,,,,,,,,,,,,,
"06,13",68.6,55,62.5,7.6,29.9,0,,,,,,,,,,,,,,,,,,
"06,14",68.6,61.1,77.4,9.6,29.8,0.02,,,,,,,,,,,,,,,,,,
"06,15",72.9,58.3,62.9,9.7,29.7,0.08,,,,,,,,,,,,,,,,,,
"06,16",70.6,45.1,42.7,12.9,29.8,0,,,,,,,,,,,,,,,,,,
"06,17",71.2,37.8,30.3,7,29.9,0,,,,,,,,,,,,,,,,,,
"06,18",76.8,48.4,38.1,10.3,29.9,0,,,,,,,,,,,,,,,,,,
"06,19",78,59.4,54.7,9.5,29.8,0.11,,,,,,,,,,,,,,,,,,
"06,20",78.8,62.3,57.4,8.5,29.8,0,,,,,,,,,,,,,,,,,,
"06,21",80,68.3,67.9,11.6,29.7,0,,,,,,,,,,,,,,,,,,
"06,22",70.3,60.4,71,11.5,29.7,0,,,,,,,,,,,,,,,,,,
"06,23",67.3,44.1,45.4,10.7,30.1,0.17,,,,,,,,,,,,,,,,,,
"06,24",69.8,50.1,51.3,8.3,30.3,0,,,,,,,,,,,,,,,,,,
"06,25",69.3,58.4,69.1,9.4,30.3,0,,,,,,,,,,,,,,,,,,
"06,26",76.4,67.3,73.9,11.1,30.2,0,,,,,,,,,,,,,,,,,,
"06,27",81.2,68.7,66.5,11.8,30.1,0,,,,,,,,,,,,,,,,,,
"06,28",85.6,68.6,57.6,11.7,30.2,0,,,,,,,,,,,,,,,,,,
"06,29",89.7,68.3,49.8,10.7,30.1,0,,,,,,,,,,,,,,,,,,
"06,30",88.2,67.6,53.1,12.4,29.9,0,,,,,,,,,,,,,,,,,,
"07,01",77.1,68.1,75,5.8,29.8,0.61,,,,,,,,,,,,,,,,,,
"07,02",73.3,65.8,77.7,9,29.7,0.81,,,,,,,,,,,,,,,,,,
"07,03",63.2,57.1,80.8,11.4,29.8,0.93,,,,,,,,,,,,,,,,,,
"07,04",70,57.6,65.5,6.1,29.9,0.03,,,,,,,,,,,,,,,,,,
"07,05",74.5,63.5,69.9,9.5,30,0,,,,,,,,,,,,,,,,,,
"07,06",81.9,65.7,60,13,29.9,0,,,,,,,,,,,,,,,,,,
"07,07",84.8,68.5,59.6,7.9,29.9,0.21,,,,,,,,,,,,,,,,,,
"07,08",76.2,68.1,76.4,9.8,29.9,0,,,,,,,,,,,,,,,,,,
"07,09",76.2,68.3,77.9,11.9,29.8,2.15,,,,,,,,,,,,,,,,,,
"07,10",75.6,65.8,72.3,6.8,29.9,0.61,,,,,,,,,,,,,,,,,,
"07,11",75.7,67,74.6,8.5,30.1,0.06,,,,,,,,,,,,,,,,,,
"07,12",76.2,70.5,82.7,9.4,30.1,0.58,,,,,,,,,,,,,,,,,,
"07,13",71.3,66.5,84.9,9.8,30.2,0.03,,,,,,,,,,,,,,,,,,
"07,14",75.5,68,79.3,7,30.1,0,,,,,,,,,,,,,,,,,,
"07,15",82.5,67.8,61.8,7.5,30,0,,,,,,,,,,,,,,,,,,
"07,16",87.3,67.9,53.5,7.1,30,0,,,,,,,,,,,,,,,,,,
"07,17",83.1,70.2,65.6,7.2,30,0,,,,,,,,,,,,,,,,,,
"07,18",78.5,67.5,70.2,9.8,29.9,0.58,,,,,,,,,,,,,,,,,,
"07,19",76.2,63.5,65.4,7.1,29.9,0.03,,,,,,,,,,,,,,,,,,
"07,20",82.7,64.9,55.6,6.4,29.9,0.01,,,,,,,,,,,,,,,,,,
"07,21",77.7,63,60.9,8,29.9,0,,,,,,,,,,,,,,,,,,
"07,22",75.8,55.7,51,9.8,30,0.16,,,,,,,,,,,,,,,,,,
"07,23",76.2,53.2,45.4,8,30.1,0,,,,,,,,,,,,,,,,,,
"07,24",76.4,58.4,54.6,8.9,30.1,0,,,,,,,,,,,,,,,,,,
"07,25",77.8,65.7,66.8,10.2,29.9,0.42,,,,,,,,,,,,,,,,,,
"07,26",80.4,64.1,60.8,7,29.9,1.4,,,,,,,,,,,,,,,,,,
"07,27",82.7,59.3,46.1,8.7,29.9,0,,,,,,,,,,,,,,,,,,
"07,28",75.8,62.1,63.3,8,30,0.2,,,,,,,,,,,,,,,,,,
"07,29",75.5,66.8,74.9,14.6,29.9,0,,,,,,,,,,,,,,,,,,
"07,30",76.8,57,52.9,15,29.8,0.26,,,,,,,,,,,,,,,,,,
"07,31",71.5,48.8,45.5,8.7,29.9,0,,,,,,,,,,,,,,,,,,
"08,01",72.9,58.5,61,9,29.9,0,,,,,,,,,,,,,,,,,,
"08,02",73.2,55.7,56.7,10.7,29.9,0.09,,,,,,,,,,,,,,,,,,
"08,03",73.4,52.5,48.6,5,30.1,0,,,,,,,,,,,,,,,,,,
"08,04",72.7,59.3,62.9,7.1,30.1,0,,,,,,,,,,,,,,,,,,
"08,05",73.5,62.2,68.2,9,30.1,0,,,,,,,,,,,,,,,,,,
"08,06",80,61.8,55.4,8,30.1,0,,,,,,,,,,,,,,,,,,
"08,07",80.7,61.2,52.3,9.5,30,0,,,,,,,,,,,,,,,,,,
"08,08",71,62.4,75.1,12.5,30.1,0.11,,,,,,,,,,,,,,,,,,
"08,09",74.3,67.3,78.8,8.8,30.1,0.23,,,,,,,,,,,,,,,,,,
"08,10",77.5,68.9,75,7.7,30.1,0,,,,,,,,,,,,,,,,,,
"08,11",82,70.4,68.6,9.2,30,0.4,,,,,,,,,,,,,,,,,,
"08,12",86.7,67.6,54.5,8.8,29.9,0.07,,,,,,,,,,,,,,,,,,
"08,13",88.5,67,49.7,6.4,30,0,,,,,,,,,,,,,,,,,,
"08,14",85.1,65.3,51.4,9.2,30,0,,,,,,,,,,,,,,,,,,
"08,15",76.8,53.7,44.8,8.6,30.1,0,,,,,,,,,,,,,,,,,,
"08,16",75.6,58.7,56.1,8.4,30.2,0,,,,,,,,,,,,,,,,,,
"08,17",77.5,63.4,61.8,10.5,30.2,0,,,,,,,,,,,,,,,,,,
"08,18",79.1,70.8,75.7,9.4,30.1,0,,,,,,,,,,,,,,,,,,
"08,19",81.6,70.6,70.5,14.1,29.9,0.29,,,,,,,,,,,,,,,,,,
"08,20",79.4,67,65.8,7.3,29.9,0,,,,,,,,,,,,,,,,,,
"08,21",78.2,70.4,77.4,8.3,29.9,0.09,,,,,,,,,,,,,,,,,,
"08,22",74.5,69.9,85.6,11.5,29.8,1.19,,,,,,,,,,,,,,,,,,
"08,23",76.9,69.3,77.8,12.2,29.7,2.94,,,,,,,,,,,,,,,,,,
"08,24",83.6,64.5,54.7,7.9,29.9,0.16,,,,,,,,,,,,,,,,,,
"08,25",84.7,65.2,53.6,4.3,30.1,0,,,,,,,,,,,,,,,,,,
"08,26",87.1,69,55.3,6.4,30.1,0,,,,,,,,,,,,,,,,,,
"08,27",84.1,70.1,63.7,5.2,30,0,,,,,,,,,,,,,,,,,,
"08,28",74.6,66.2,75.3,12.9,30.2,1.34,,,,,,,,,,,,,,,,,,
"08,29",71.8,65.3,80.2,7.5,30.1,0,,,,,,,,,,,,,,,,,,
"08,30",79.8,66.8,67.5,7.6,29.9,0,,,,,,,,,,,,,,,,,,
"08,31",81.3,65.2,59.9,7.5,29.8,0,,,,,,,,,,,,,,,,,,
"09,01",70.9,60.1,74.7,18.6,29.6,0.03,,,,,,,,,,,,,,,,,,
"09,02",68.8,55.5,65.2,15.4,29.8,6.86,,,,,,,,,,,,,,,,,,
"09,03",69,53.7,59,8.6,30,0,,,,,,,,,,,,,,,,,,
"09,04",72.4,56.5,58.6,7.2,30,0,,,,,,,,,,,,,,,,,,
"09,05",72.9,64.9,76.2,9.8,29.8,0,,,,,,,,,,,,,,,,,,
"09,06",76.5,61.5,63.4,9.7,29.8,0.05,,,,,,,,,,,,,,,,,,
"09,07",74.7,57.7,56.6,8.9,29.9,0,,,,,,,,,,,,,,,,,,
"09,08",77.4,67.7,72.5,14.3,29.8,0,,,,,,,,,,,,,,,,,,
"09,09",71.3,61.3,75.7,5.5,29.7,0.16,,,,,,,,,,,,,,,,,,
"09,10",70.8,51.8,52.7,14.3,29.9,0.13,,,,,,,,,,,,,,,,,,
"09,11",72.5,49.5,45,8.2,30.1,0,,,,,,,,,,,,,,,,,,
"09,12",76.8,59.8,56.4,12.6,30,0,,,,,,,,,,,,,,,,,,
"09,13",79.3,62.4,56.6,12.4,30,0,,,,,,,,,,,,,,,,,,
"09,14",74.7,63.4,68.5,7.9,30,0.03,,,,,,,,,,,,,,,,,,
"09,15",79.4,68,69.3,8.3,29.9,0,,,,,,,,,,,,,,,,,,
"09,16",74,63.7,70.1,11.8,30.1,0,,,,,,,,,,,,,,,,,,
"09,17",72.7,66.7,81.5,12.7,30.2,0,,,,,,,,,,,,,,,,,,
"09,18",76.5,64.5,68,6.7,30,0,,,,,,,,,,,,,,,,,,
"09,19",72.3,52.6,51,7.8,30.1,0,,,,,,,,,,,,,,,,,,
"09,20",69.9,55.7,61.1,6.9,30.3,0,,,,,,,,,,,,,,,,,,
"09,21",71,60.8,70.7,8.4,30.3,0,,,,,,,,,,,,,,,,,,
"09,22",74.9,68.1,79.5,11.7,30.1,0.01,,,,,,,,,,,,,,,,,,
"09,23",75,66.5,75.4,14.1,29.9,0,,,,,,,,,,,,,,,,,,
"09,24",67.5,51.2,59.3,8.3,30,1.38,,,,,,,,,,,,,,,,,,
"09,25",69.7,51.1,52.8,4.8,30,0,,,,,,,,,,,,,,,,,,
"09,26",69.3,46.8,46.1,12.7,29.9,0,,,,,,,,,,,,,,,,,,
"09,27",72.9,46.5,39.5,12.9,29.9,0,,,,,,,,,,,,,,,,,,
"09,28",70.3,57,62.9,10.1,29.8,0,,,,,,,,,,,,,,,,,,
"09,29",63.7,42.6,47.1,10.4,29.9,0.1,,,,,,,,,,,,,,,,,,
"09,30",62.7,44.4,51.7,9.3,30.1,0,,,,,,,,,,,,,,,,,,
"10,01",62.1,42.7,50.3,7.6,30.2,0,,,,,,,,,,,,,,,,,,
"10,02",68.6,48.2,48.9,7.3,30.1,0,,,,,,,,,,,,,,,,,,
"10,03",71.9,56.8,60.9,5.6,29.9,0,,,,,,,,,,,,,,,,,,
"10,04",68.8,63.6,83.7,11.1,29.9,0.05,,,,,,,,,,,,,,,,,,
"10,05",63,56.1,78.3,8.6,30.2,0.06,,,,,,,,,,,,,,,,,,
"10,06",65.9,55.8,70.5,4.7,30.3,0,,,,,,,,,,,,,,,,,,
"10,07",69,58.8,71,3.9,30.2,0,,,,,,,,,,,,,,,,,,
"10,08",69.3,59.5,71.2,6.6,30.1,0,,,,,,,,,,,,,,,,,,
"10,09",65.1,55.4,71,13.9,30.2,0,,,,,,,,,,,,,,,,,,
"10,10",65.2,59.2,80.9,17.3,30.1,0,,,,,,,,,,,,,,,,,,
"10,11",67.5,57.3,70.2,13.8,30.1,0.11,,,,,,,,,,,,,,,,,,
"10,12",66.2,57.5,73.6,6.7,30.1,0,,,,,,,,,,,,,,,,,,
"10,13",67.9,59.4,74.3,4,30,0,,,,,,,,,,,,,,,,,,
"10,14",71.3,58.3,64.8,7.1,29.9,0,,,,,,,,,,,,,,,,,,
"10,15",72.6,58.7,62.9,4.7,29.9,0,,,,,,,,,,,,,,,,,,
"10,16",70,59,68.2,13.3,29.7,0,,,,,,,,,,,,,,,,,,
"10,17",59.3,44.3,58.4,15,29.8,0.16,,,,,,,,,,,,,,,,,,
"10,18",55.5,39,54.3,15,29.8,0.01,,,,,,,,,,,,,,,,,,
"10,19",59.3,37.5,46.1,13.5,29.9,0,,,,,,,,,,,,,,,,,,
"10,20",69.1,44.3,41.8,10.9,30,0,,,,,,,,,,,,,,,,,,
"10,21",69.2,50,51.7,9,29.9,0,,,,,,,,,,,,,,,,,,
"10,22",66.7,49.8,55.2,10.2,29.8,0,,,,,,,,,,,,,,,,,,
"10,23",56.6,41.5,57.1,8.1,29.9,0,,,,,,,,,,,,,,,,,,
"10,24",56,40.4,56.6,7.1,30.1,0,,,,,,,,,,,,,,,,,,
"10,25",66.5,59.5,78.6,7.4,29.9,0.05,,,,,,,,,,,,,,,,,,
"10,26",61,56.4,85.2,17,29.5,1.74,,,,,,,,,,,,,,,,,,
"10,27",58.4,47.7,68.5,16.4,29.6,1.26,,,,,,,,,,,,,,,,,,
"10,28",54.8,41.6,61.2,9.8,29.9,0,,,,,,,,,,,,,,,,,,
"10,29",54.4,43.5,66.9,17.1,29.8,0,,,,,,,,,,,,,,,,,,
"10,30",59.8,53.2,79.6,13.2,29.6,0.48,,,,,,,,,,,,,,,,,,
"10,31",61,51.1,71.3,9.8,29.6,0.08,,,,,,,,,,,,,,,,,,
"11,01",58.4,37.7,47.4,12.7,30,0,,,,,,,,,,,,,,,,,,
"11,02",52.9,31.9,45.1,7.5,30.2,0,,,,,,,,,,,,,,,,,,
"11,03",49,30.2,49.3,11.2,30.2,0,,,,,,,,,,,,,,,,,,
"11,04",47.4,25.4,43.6,7.2,30.3,0,,,,,,,,,,,,,,,,,,
"11,05",48,26.2,43.5,8.3,30.3,0,,,,,,,,,,,,,,,,,,
"11,06",48.8,29.2,47.6,5.5,30.4,0,,,,,,,,,,,,,,,,,,
"11,07",50,32,51.7,4.3,30.2,0,,,,,,,,,,,,,,,,,,
"11,08",56.3,36,46.8,6.6,30.1,0,,,,,,,,,,,,,,,,,,
